spid,spid_legacy,chid,stkc,stkc_unit,tested_conc,tested_conc_unit,MTT
TP0000885A10,BF00128079,34609,100,mM,1,uM,93.7
TP0000887C19,BF00128079,34609,100,mM,1,uM,93.7
TP0000883F06,BF00128080,32379,100,mM,10,uM,103.2
TP0000886F11,BF00128080,32379,100,mM,10,uM,103.2
TP0000884B03,BF00128081,32555,100,mM,10,uM,88.2
TP0000886N05,BF00128081,32555,100,mM,10,uM,88.2
TP0000883G03,BF00128082,34503,100,mM,100,uM,97
TP0000886H05,BF00128082,34503,100,mM,100,uM,97
TP0000885A01,BF00128083,32532,100,mM,100,uM,96.5
TP0000887C01,BF00128083,32532,100,mM,100,uM,96.5
TP0000884F08,BF00128084,34588,100,mM,1,uM,98.6
TP0000886J16,BF00128084,34588,100,mM,1,uM,98.6
TP0000882C05,BF00128085,32358,100,mM,100,uM,101.4
TP0000886G09,BF00128085,32358,100,mM,100,uM,101.4
TP0000883B02,BF00128086,24175,100,mM,100,uM,95.3
TP0000886I04,BF00128086,24175,100,mM,100,uM,95.3
TP0000884F10,BF00128087,32572,100,mM,1,uM,94.7
TP0000886J20,BF00128087,32572,100,mM,1,uM,94.7
TP0000884E03,BF00128088,32581,100,mM,1,uM,92.7
TP0000886H06,BF00128088,32581,100,mM,1,uM,92.7
TP0000886G20,BF00128089,34223,100,mM,1,uM,14.9
TP0000883D01,BF00128090,34956,100,mM,1,uM,98.7
TP0000886M02,BF00128090,34956,100,mM,1,uM,98.7
TP0000882H06,BF00128091,24304,100,mM,100,uM,90.4
TP0000886E12,BF00128091,24304,100,mM,100,uM,90.4
TP0000882F04,BF00128092,32628,100,mM,10,uM,88.5
TP0000886M07,BF00128092,32628,100,mM,10,uM,88.5
TP0000884A05,BF00128094,32600,100,mM,100,uM,96.7
TP0000886L09,BF00128094,32600,100,mM,100,uM,96.7
TP0000882F08,BF00128096,32601,100,mM,10,uM,97.6
TP0000886M15,BF00128096,32601,100,mM,10,uM,97.6
TP0000883D09,BF00128097,20855,100,mM,100,uM,90.4
TP0000886M18,BF00128097,20855,100,mM,100,uM,90.4
TP0000883A01,BF00128098,34402,100,mM,1,uM,88.9
TP0000886G02,BF00128098,34402,100,mM,1,uM,88.9
TP0000884D10,BF00128099,32355,100,mM,100,uM,100.9
TP0000886F20,BF00128099,32355,100,mM,100,uM,100.9
TP0000882G02,BF00128100,34252,100,mM,100,uM,95.8
TP0000886C04,BF00128100,34252,100,mM,100,uM,95.8
TP0000883E01,BF00128101,23998,100,mM,10,uM,94.8
TP0000886D01,BF00128101,23998,100,mM,10,uM,94.8
TP0000883G02,BF00128102,24241,100,mM,10,uM,93.4
TP0000886H03,BF00128102,24241,100,mM,10,uM,93.4
TP0000883E06,BF00128103,34818,100,mM,1,uM,95.9
TP0000886D11,BF00128103,34818,100,mM,1,uM,95.9
TP0000882F10,BF00128104,20194,100,mM,100,uM,100.6
TP0000886M19,BF00128104,20194,100,mM,100,uM,100.6
TP0000884D09,BF00128105,20620,100,mM,100,uM,85.5
TP0000886F18,BF00128105,20620,100,mM,100,uM,85.5
TP0000882B12,BF00128106,22265,100,mM,1,uM,99.4
TP0000886E23,BF00128106,22265,100,mM,1,uM,99.4
TP0000882B09,BF00128107,21389,100,mM,10,uM,99.6
TP0000886E17,BF00128107,21389,100,mM,10,uM,99.6
TP0000882C03,BF00128108,32613,100,mM,10,uM,91.6
TP0000886G05,BF00128108,32613,100,mM,10,uM,91.6
TP0000884E08,BF00128109,24272,100,mM,100,uM,96.6
TP0000886H16,BF00128109,24272,100,mM,100,uM,96.6
TP0000883A06,BF00128110,21395,100,mM,10,uM,96.8
TP0000886G12,BF00128110,21395,100,mM,10,uM,96.8
TP0000884D08,BF00128111,23899,100,mM,100,uM,81.7
TP0000886F16,BF00128111,23899,100,mM,100,uM,81.7
TP0000884F04,BF00128112,23897,100,mM,100,uM,84
TP0000886J08,BF00128112,23897,100,mM,100,uM,84
TP0000886N01,BF00128113,32550,50,mM,5,uM,15.3
TP0000884C10,BF00128114,24245,100,mM,1,uM,91.3
TP0000886D20,BF00128114,24245,100,mM,1,uM,91.3
TP0000882C09,BF00128115,24177,100,mM,100,uM,97.6
TP0000886G17,BF00128115,24177,100,mM,100,uM,97.6
TP0000883G10,BF00128116,34872,100,mM,100,uM,97.7
TP0000886H19,BF00128116,34872,100,mM,100,uM,97.7
TP0000882B03,BF00128117,34673,100,mM,100,uM,96.6
TP0000886E05,BF00128117,34673,100,mM,100,uM,96.6
TP0000882H11,BF00128118,32637,100,mM,100,uM,98.2
TP0000886E22,BF00128118,32637,100,mM,100,uM,98.2
TP0000882F03,BF00128119,34676,100,mM,100,uM,96
TP0000886M05,BF00128119,34676,100,mM,100,uM,96
TP0000883C06,BF00128120,22267,100,mM,100,uM,98.9
TP0000886K12,BF00128120,22267,100,mM,100,uM,98.9
TP0000882H03,BF00128121,32547,100,mM,100,uM,99.7
TP0000886E06,BF00128121,32547,100,mM,100,uM,99.7
TP0000882E01,BF00128122,31865,100,mM,100,uM,92.6
TP0000886K01,BF00128122,31865,100,mM,100,uM,92.6
TP0000883E11,BF00128123,26523,100,mM,100,uM,98.3
TP0000886D21,BF00128123,26523,100,mM,100,uM,98.3
TP0000882C01,BF00128124,34232,100,mM,100,uM,97.8
TP0000886G01,BF00128124,34232,100,mM,100,uM,97.8
TP0000885A06,BF00128125,28038,100,mM,1,uM,102.5
TP0000887C11,BF00128125,28038,100,mM,1,uM,102.5
TP0000884E04,BF00128126,32544,100,mM,100,uM,96.7
TP0000886H08,BF00128126,32544,100,mM,100,uM,96.7
TP0000882F05,BF00128127,32498,100,mM,1,uM,94.5
TP0000886F07,BF00128127,32498,100,mM,1,uM,94.5
TP0000882E12,BF00128128,24216,100,mM,100,uM,99.3
TP0000886K23,BF00128128,24216,100,mM,100,uM,99.3
TP0000882A05,BF00128129,24211,100,mM,10,uM,100.6
TP0000886C09,BF00128129,24211,100,mM,10,uM,100.6
TP0000884D12,BF00128130,21995,100,mM,100,uM,102.6
TP0000886F24,BF00128130,21995,100,mM,100,uM,102.6
TP0000885B06,BF00128131,24035,100,mM,100,uM,93
TP0000887C12,BF00128131,24035,100,mM,100,uM,93
TP0000885B02,BF00128132,24154,100,mM,100,uM,84.6
TP0000887C04,BF00128132,24154,100,mM,100,uM,84.6
TP0000883G01,BF00128133,23999,100,mM,100,uM,92
TP0000886H01,BF00128133,23999,100,mM,100,uM,92
TP0000883C08,BF00128134,40001,100,mM,100,uM,107.3
TP0000886K16,BF00128134,40001,100,mM,100,uM,107.3
TP0000884B04,BF00128135,20154,100,mM,1,uM,93.5
TP0000886N07,BF00128135,20154,100,mM,1,uM,93.5
TP0000883G06,BF00128136,20247,100,mM,100,uM,94.5
TP0000886H11,BF00128136,20247,100,mM,100,uM,94.5
TP0000882E11,BF00128137,23412,100,mM,100,uM,120.4
TP0000886K21,BF00128137,23412,100,mM,100,uM,120.4
TP0000883C10,BF00128138,24018,100,mM,100,uM,98.9
TP0000886K20,BF00128138,24018,100,mM,100,uM,98.9
TP0000883B08,BF00128139,20446,100,mM,100,uM,94.9
TP0000886I16,BF00128139,20446,100,mM,100,uM,94.9
TP0000883A04,BF00128140,32493,100,mM,10,uM,99
TP0000886L07,BF00128140,32493,100,mM,10,uM,99
TP0000883C03,BF00128141,22361,100,mM,100,uM,90.6
TP0000886K06,BF00128141,22361,100,mM,100,uM,90.6
TP0000884C06,BF00128142,34627,100,mM,100,uM,95
TP0000886D12,BF00128142,34627,100,mM,100,uM,95
TP0000883B01,BF00128143,34877,100,mM,100,uM,86.2
TP0000886I02,BF00128143,34877,100,mM,100,uM,86.2
TP0000883E02,BF00128144,32442,100,mM,100,uM,95.9
TP0000886D03,BF00128144,32442,100,mM,100,uM,95.9
TP0000883C01,BF00128145,32569,100,mM,100,uM,89.8
TP0000886K02,BF00128145,32569,100,mM,100,uM,89.8
TP0000885B05,BF00128146,24299,100,mM,1,uM,97.8
TP0000887C10,BF00128146,24299,100,mM,1,uM,97.8
TP0000883B12,BF00128147,34212,100,mM,100,uM,95.8
TP0000886I24,BF00128147,34212,100,mM,100,uM,95.8
TP0000884B09,BF00128148,40222,100,mM,100,uM,101.4
TP0000886N17,BF00128148,40222,100,mM,100,uM,101.4
TP0000882B08,BF00128149,34618,100,mM,100,uM,96.9
TP0000886E15,BF00128149,34618,100,mM,100,uM,96.9
TP0000885A07,BF00128165,34962,100,mM,100,uM,102
TP0000887C13,BF00128165,34962,100,mM,100,uM,102
TP0000883F03,BF00128166,34665,100,mM,100,uM,98.7
TP0000886F05,BF00128166,34665,100,mM,100,uM,98.7
TP0000884F02,BF00128167,32329,100,mM,1,uM,92.7
TP0000886J04,BF00128167,32329,100,mM,1,uM,92.7
TP0000884A03,BF00128168,32641,100,mM,100,uM,84
TP0000886L05,BF00128168,32641,100,mM,100,uM,84
TP0000882B05,BF00128169,24242,100,mM,10,uM,98.3
TP0000886E09,BF00128169,24242,100,mM,10,uM,98.3
TP0000883F01,BF00128170,24209,100,mM,1,uM,96
TP0000886F01,BF00128170,24209,100,mM,1,uM,96
TP0000884F06,BF00128171,32352,100,mM,10,uM,101.5
TP0000886J12,BF00128171,32352,100,mM,10,uM,101.5
TP0000882B01,BF00128172,37495,100,mM,100,uM,99.3
TP0000886E01,BF00128172,37495,100,mM,100,uM,99.3
TP0000883D07,BF00128173,23846,100,mM,100,uM,104.4
TP0000886M14,BF00128173,23846,100,mM,100,uM,104.4
TP0000883C05,BF00128174,23892,100,mM,1,uM,91.9
TP0000886K10,BF00128174,23892,100,mM,1,uM,91.9
TP0000882E04,BF00128175,20407,100,mM,100,uM,86.8
TP0000886K07,BF00128175,20407,100,mM,100,uM,86.8
TP0000883G05,BF00128176,24234,100,mM,100,uM,88.2
TP0000886H09,BF00128176,24234,100,mM,100,uM,88.2
TP0000884G06,BF00128177,32651,100,mM,10,uM,88.5
TP0000886L12,BF00128177,32651,100,mM,10,uM,88.5
TP0000884A08,BF00128178,32356,100,mM,100,uM,102.6
TP0000886L15,BF00128178,32356,100,mM,100,uM,102.6
TP0000882H05,BF00128179,32667,100,mM,100,uM,86.1
TP0000886E10,BF00128179,32667,100,mM,100,uM,86.1
TP0000884G08,BF00128180,24152,100,mM,100,uM,110.6
TP0000886L16,BF00128180,24152,100,mM,100,uM,110.6
TP0000884F03,BF00128181,24002,100,mM,10,uM,88.1
TP0000886J06,BF00128181,24002,100,mM,10,uM,88.1
TP0000884H01,BF00128182,22341,100,mM,100,uM,99.6
TP0000886N02,BF00128182,22341,100,mM,100,uM,99.6
TP0000884A01,BF00128183,32605,100,mM,100,uM,99.6
TP0000886L01,BF00128183,32605,100,mM,100,uM,99.6
TP0000882F06,BF00128185,23848,100,mM,1,uM,94.6
TP0000886M11,BF00128185,23848,100,mM,1,uM,94.6
TP0000884E05,BF00128186,39223,100,mM,100,uM,102.1
TP0000886H10,BF00128186,39223,100,mM,100,uM,102.1
TP0000884C04,BF00128187,34545,100,mM,100,uM,83
TP0000886D08,BF00128187,34545,100,mM,100,uM,83
TP0000882A09,BF00128188,34723,100,mM,100,uM,94.5
TP0000886C17,BF00128188,34723,100,mM,100,uM,94.5
TP0000883B06,BF00128189,34625,100,mM,1,uM,80.2
TP0000886I12,BF00128189,34625,100,mM,1,uM,80.2
TP0000884D11,BF00128190,34961,100,mM,100,uM,108.1
TP0000886F22,BF00128190,34961,100,mM,100,uM,108.1
TP0000883C09,BF00128191,34303,100,mM,100,uM,102.5
TP0000886K18,BF00128191,34303,100,mM,100,uM,102.5
TP0000883E07,BF00128192,24235,100,mM,1,uM,88.4
TP0000886D13,BF00128192,24235,100,mM,1,uM,88.4
TP0000882H08,BF00128193,34653,100,mM,1,uM,94.2
TP0000886E16,BF00128193,34653,100,mM,1,uM,94.2
TP0000883B07,BF00128194,34948,100,mM,10,uM,83.5
TP0000886I14,BF00128194,34948,100,mM,10,uM,83.5
TP0000882F11,BF00128195,24151,100,mM,1,uM,91.1
TP0000886M21,BF00128195,24151,100,mM,1,uM,91.1
TP0000882H12,BF00128196,24159,100,mM,100,uM,82.5
TP0000886E24,BF00128196,24159,100,mM,100,uM,82.5
TP0000882D12,BF00128197,32577,100,mM,10,uM,96.7
TP0000886I23,BF00128197,32577,100,mM,10,uM,96.7
TP0000882E10,BF00128198,34881,100,mM,1,uM,102.7
TP0000886K19,BF00128198,34881,100,mM,1,uM,102.7
TP0000884H09,BF00128199,34270,100,mM,100,uM,102.7
TP0000886N18,BF00128199,34270,100,mM,100,uM,102.7
TP0000883D08,BF00128200,23881,20.1,mM,20.1,uM,113.2
TP0000886M16,BF00128200,23881,20.1,mM,20.1,uM,113.2
TP0000883A07,BF00128201,21337,100,mM,100,uM,87.4
TP0000886G14,BF00128201,21337,100,mM,100,uM,87.4
TP0000887C05,BF00128202,20426,100,mM,10,uM,77.2
TP0000884C08,BF00128203,24204,50,mM,50,uM,100.6
TP0000886D16,BF00128203,24204,50,mM,50,uM,100.6
TP0000885A02,BF00128204,20319,100,mM,0.1,uM,101
TP0000887C03,BF00128204,20319,100,mM,0.1,uM,101
TP0000882H04,BF00128205,20442,100,mM,100,uM,97.8
TP0000886E08,BF00128205,20442,100,mM,100,uM,97.8
TP0000885B09,BF00128206,32365,100,mM,100,uM,100.3
TP0000887C18,BF00128206,32365,100,mM,100,uM,100.3
TP0000882A04,BF00128208,21975,100,mM,100,uM,93.8
TP0000886C07,BF00128208,21975,100,mM,100,uM,93.8
TP0000882H09,BF00128209,34490,100,mM,100,uM,101.4
TP0000886E18,BF00128209,34490,100,mM,100,uM,101.4
TP0000883H11,BF00128210,20792,100,mM,100,uM,101.8
TP0000886J21,BF00128210,20792,100,mM,100,uM,101.8
TP0000885B11,BF00128211,20242,100,mM,1,uM,99.1
TP0000887C22,BF00128211,20242,100,mM,1,uM,99.1
TP0000884C09,BF00128212,32497,100,mM,100,uM,95.9
TP0000886D18,BF00128212,32497,100,mM,100,uM,95.9
TP0000882D06,BF00128213,40361,100,mM,10,uM,88.7
TP0000886I11,BF00128213,40361,100,mM,10,uM,88.7
TP0000882A06,BF00128214,24344,100,mM,1,uM,98.7
TP0000886C11,BF00128214,24344,100,mM,1,uM,98.7
TP0000882C02,BF00128215,32549,100,mM,10,uM,92.4
TP0000886G03,BF00128215,32549,100,mM,10,uM,92.4
TP0000883B04,BF00128216,21086,100,mM,100,uM,90.3
TP0000886I08,BF00128216,21086,100,mM,100,uM,90.3
TP0000886F13,BF00128217,32580,100,mM,10,uM,6.9
TP0000883H09,BF00128218,32552,100,mM,10,uM,91.5
TP0000886J17,BF00128218,32552,100,mM,10,uM,91.5
TP0000882G04,BF00128219,34864,100,mM,100,uM,93.4
TP0000886C08,BF00128219,34864,100,mM,100,uM,93.4
TP0000882A10,BF00128220,24315,100,mM,100,uM,84
TP0000886C19,BF00128220,24315,100,mM,100,uM,84
TP0000883C11,BF00128221,34401,100,mM,1,uM,87.8
TP0000886K22,BF00128221,34401,100,mM,1,uM,87.8
TP0000884G09,BF00128222,32359,100,mM,1,uM,96
TP0000886L18,BF00128222,32359,100,mM,1,uM,96
TP0000883C12,BF00128223,32392,100,mM,100,uM,96.6
TP0000886K24,BF00128223,32392,100,mM,100,uM,96.6
TP0000884C02,BF00128224,24337,100,mM,100,uM,80.6
TP0000886D04,BF00128224,24337,100,mM,100,uM,80.6
TP0000882G01,BF00128225,32372,100,mM,1,uM,84.6
TP0000886C02,BF00128225,32372,100,mM,1,uM,84.6
TP0000883G04,BF00128226,32649,100,mM,10,uM,99.6
TP0000886H07,BF00128226,32649,100,mM,10,uM,99.6
TP0000884H11,BF00128227,22448,100,mM,10,uM,96.4
TP0000886N22,BF00128227,22448,100,mM,10,uM,96.4
TP0000882A08,BF00128228,20420,100,mM,100,uM,92.3
TP0000886C15,BF00128228,20420,100,mM,100,uM,92.3
TP0000882D03,BF00128229,20790,100,mM,100,uM,109
TP0000886I05,BF00128229,20790,100,mM,100,uM,109
TP0000884E12,BF00128230,34300,100,mM,100,uM,100.1
TP0000886H24,BF00128230,34300,100,mM,100,uM,100.1
