spid,spid_legacy,chid,stkc,stkc_unit,tested_conc_unit,CONC1,CONC2,CONC3,CONC4,CONC5,CONC6,CONC1_MTT,CONC2_MTT,CONC3_MTT,CONC4_MTT,CONC5_MTT,CONC6_MTT
TP0001054C10,01140690A,40722,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,113.97,103.69,100.11,95.42,92.74,98.32
TP0001063C10,01140690A,40722,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,113.97,103.69,100.11,95.42,92.74,98.32
TP0001056F09,01140692A,23322,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,70.15,42.11,84.29,96,96.84,97.85
TP0001065F09,01140692A,23322,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,70.15,42.11,84.29,96,96.84,97.85
TP0001054C06,01140704A,21126,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,90.06,103.69,99.22,100.11,94.75,99.66
TP0001067A03,01140704A,21126,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,90.06,103.69,99.22,100.11,94.75,99.66
TP0001060G03,01140706A,24460,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,87.17,103.42,107.41,105.76,97.1,111.7
TP0001069G03,01140706A,24460,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,87.17,103.42,107.41,105.76,97.1,111.7
TP0001062E01,01140708A,22439,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,105.89,110.24,109.93,99.9,97,106.31
TP0001071E01,01140708A,22439,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,105.89,110.24,109.93,99.9,97,106.31
TP0001057E01,01140714A,41623,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,96.28,98.35,93.27,98.14,95.85,101.43
TP0001066E01,01140714A,41623,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,96.28,98.35,93.27,98.14,95.85,101.43
TP0001056F05,01140718A,24000,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,92.46,101.98,94.06,103.83,100.63,100.29
TP0001065F05,01140718A,24000,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,92.46,101.98,94.06,103.83,100.63,100.29
TP0001056A06,01140720A,47328,100,mM,uM,1,0.33,0.11,0.04,0.01,0,99.59,93.95,94.11,102.29,92.72,94.85
TP0001065A06,01140720A,47328,100,mM,uM,1,0.33,0.11,0.04,0.01,0,99.59,93.95,94.11,102.29,92.72,94.85
TP0001059E01,01140724A,20069,50,mM,uM,5,1.67,0.56,0.19,0.06,0.02,101.59,109.73,109.8,108.84,103.81,100.41
TP0001068E01,01140724A,20069,50,mM,uM,5,1.67,0.56,0.19,0.06,0.02,101.59,109.73,109.8,108.84,103.81,100.41
TP0001060A01,01140728A,22377,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,93.28,100.84,100.44,104.35,100.44,100.17
TP0001069A01,01140728A,22377,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,93.28,100.84,100.44,104.35,100.44,100.17
TP0001062A04,01140750A,40721,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,92.75,106.19,94.87,97.41,94.34,101.64
TP0001071A04,01140750A,40721,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,92.75,106.19,94.87,97.41,94.34,101.64
TP0001054B04,01140756A,34186,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,101.52,95.45,97.19,89.83,91.13,99.78
TP0001063B04,01140756A,34186,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,101.52,95.45,97.19,89.83,91.13,99.78
TP0001055A11,01140762A,22254,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,105.52,118.01,112.58,108.78,110.77,115.66
TP0001064A11,01140762A,22254,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,105.52,118.01,112.58,108.78,110.77,115.66
TP0001056H01,01140768A,34181,100,mM,uM,1,0.33,0.11,0.04,0.01,0,96.88,100,102.8,102.16,105.44,95.76
TP0001065H01,01140768A,34181,100,mM,uM,1,0.33,0.11,0.04,0.01,0,96.88,100,102.8,102.16,105.44,95.76
TP0001059B08,01140780A,22310,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,94.48,102.63,112.7,114.27,107.09,105.69
TP0001068B08,01140780A,22310,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,94.48,102.63,112.7,114.27,107.09,105.69
TP0001062E02,01140782A,36515,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,64.22,105.38,111.17,99.59,101.24,118.82
TP0001071E02,01140782A,36515,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,64.22,105.38,111.17,99.59,101.24,118.82
TP0001061B02,01140784A,27061,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,124.25,119.35,99.67,108.68,96.89,104
TP0001070B02,01140784A,27061,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,124.25,119.35,99.67,108.68,96.89,104
TP0001059B05,01140786A,20366,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,96.27,101.4,99.01,100.92,99.49,102.36
TP0001068B05,01140786A,20366,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,96.27,101.4,99.01,100.92,99.49,102.36
TP0001056A03,01140794A,37752,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,92.07,95.01,100.57,101.39,95.01,96.89
TP0001065A03,01140794A,37752,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,92.07,95.01,100.57,101.39,95.01,96.89
TP0001059F01,01140798A,42190,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,102.33,116.32,117.8,108.77,106.84,104.85
TP0001068F01,01140798A,42190,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,102.33,116.32,117.8,108.77,106.84,104.85
TP0001056D07,01140802A,21322,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,102.37,108.24,107.55,117.03,107.2,119.79
TP0001065D07,01140802A,21322,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,102.37,108.24,107.55,117.03,107.2,119.79
TP0001060F08,01140822A,24104,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,92.06,102.26,101.25,107.94,98.44,106.31
TP0001069F08,01140822A,24104,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,92.06,102.26,101.25,107.94,98.44,106.31
TP0001057G05,01140824A,32113,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,94.94,99.71,98.81,97.78,96.04,96.1
TP0001066G05,01140824A,32113,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,94.94,99.71,98.81,97.78,96.04,96.1
TP0001060E11,01140826A,20123,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,99.61,107.32,104.75,106.31,98.29,103.58
TP0001069E11,01140826A,20123,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,99.61,107.32,104.75,106.31,98.29,103.58
TP0001058G05,01140830A,20710,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,101.6,99.86,97,103,98.61,101.81
TP0001067G05,01140830A,20710,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,101.6,99.86,97,103,98.61,101.81
TP0001061D11,01140850A,40713,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,90.26,94.06,83.54,85.33,96.19,92.5
TP0001070D11,01140850A,40713,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,90.26,94.06,83.54,85.33,96.19,92.5
TP0001054D12,01140852A,24930,99.9,mM,uM,9.99,3.33,1.11,0.37,0.12,0.04,98.15,90.33,88.68,90.74,101.65,90.74
TP0001063D12,01140852A,24930,99.9,mM,uM,9.99,3.33,1.11,0.37,0.12,0.04,98.15,90.33,88.68,90.74,101.65,90.74
TP0001059B01,01140856A,24489,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,83.59,96.95,92.22,98.46,96.27,95.31
TP0001068B01,01140856A,24489,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,83.59,96.95,92.22,98.46,96.27,95.31
TP0001061G01,01140866A,20561,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,58.13,66.92,83.73,75.81,90.78,92.73
TP0001070G01,01140866A,20561,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,58.13,66.92,83.73,75.81,90.78,92.73
TP0001054D02,01140872A,20295,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,124.69,109.94,103.91,92.51,98.99,99.44
TP0001063D02,01140872A,20295,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,124.69,109.94,103.91,92.51,98.99,99.44
TP0001054A05,01140880A,20510,50,mM,uM,5,1.67,0.56,0.19,0.06,0.02,105.7,109.21,97.81,89.47,85.96,85.09
TP0001063A05,01140880A,20510,50,mM,uM,5,1.67,0.56,0.19,0.06,0.02,105.7,109.21,97.81,89.47,85.96,85.09
TP0001057D12,01140906A,21094,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,115.4,101.65,92.77,92.91,93.12,94.34
TP0001066D12,01140906A,21094,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,115.4,101.65,92.77,92.91,93.12,94.34
TP0001054A07,01140914A,35001,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,117.11,105.7,113.6,85.53,85.53,89.25
TP0001063A07,01140914A,35001,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,117.11,105.7,113.6,85.53,85.53,89.25
TP0001060B09,01140922A,20869,99.9,mM,uM,9.99,3.33,1.11,0.37,0.12,0.04,96.25,105.77,101.86,103.54,100.84,101.05
TP0001069B09,01140922A,20869,99.9,mM,uM,9.99,3.33,1.11,0.37,0.12,0.04,96.25,105.77,101.86,103.54,100.84,101.05
TP0001058A05,01140924A,20959,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,99.89,101.03,107.58,95.98,94.56,102.24
TP0001067A05,01140924A,20959,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,99.89,101.03,107.58,95.98,94.56,102.24
TP0001055A10,01140942A,21097,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,84.52,94.3,100.45,94.66,102.26,109.86
TP0001064A10,01140942A,21097,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,84.52,94.3,100.45,94.66,102.26,109.86
TP0001056D12,01140944A,23902,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,95.14,97.2,86.28,90.61,96.99,100.18
TP0001065D12,01140944A,23902,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,95.14,97.2,86.28,90.61,96.99,100.18
TP0001057C01,01140948A,24086,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,82.52,91.54,96.88,100.97,93.2,97.71
TP0001066C01,01140948A,24086,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,82.52,91.54,96.88,100.97,93.2,97.71
TP0001062B01,01140950A,20458,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,50.82,102.28,96.56,100.05,91.79,103.76
TP0001071B01,01140950A,20458,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,50.82,102.28,96.56,100.05,91.79,103.76
TP0001062B03,01140956A,20290,20,mM,uM,20,6.67,2.22,0.74,0.25,0.08,85.92,91.57,85.45,91.95,95.81,97.5
TP0001071B03,01140956A,20290,20,mM,uM,20,6.67,2.22,0.74,0.25,0.08,85.92,91.57,85.45,91.95,95.81,97.5
TP0001057A04,01140966A,26792,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,98.02,99.7,105.79,100.64,97.82,101.24
TP0001066A04,01140966A,26792,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,98.02,99.7,105.79,100.64,97.82,101.24
TP0001058C08,01140972A,24254,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,92.79,99.01,96.83,100.93,98.88,97.29
TP0001067C08,01140972A,24254,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,92.79,99.01,96.83,100.93,98.88,97.29
TP0001062B02,01140978A,20283,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,86.86,100.24,94.39,100.52,103.53,102.12
TP0001071B02,01140978A,20283,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,86.86,100.24,94.39,100.52,103.53,102.12
TP0001058G03,01140982A,22308,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,61.37,82.78,88.21,95.4,94.56,96.09
TP0001067G03,01140982A,22308,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,61.37,82.78,88.21,95.4,94.56,96.09
TP0001055C10,01140986A,24523,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,73.81,92.01,89.79,91.2,91.61,89.18
TP0001064C10,01140986A,24523,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,73.81,92.01,89.79,91.2,91.61,89.18
TP0001061A06,01140990A,44203,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,89.21,89.54,85.43,105.9,91.66,106.23
TP0001070A06,01140990A,44203,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,89.21,89.54,85.43,105.9,91.66,106.23
TP0001059A10,01140996A,34150,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,95.51,99.01,93.11,98.05,99.35,101.27
TP0001068A10,01140996A,34150,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,95.51,99.01,93.11,98.05,99.35,101.27
TP0001055F01,01141008A,20939,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,120.97,106.99,103.75,112.26,111.45,109.83
TP0001064F01,01141008A,20939,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,120.97,106.99,103.75,112.26,111.45,109.83
TP0001058A01,01141010A,20541,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,89.15,95.7,97.69,95.34,95.84,97.62
TP0001067A01,01141010A,20541,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,89.15,95.7,97.69,95.34,95.84,97.62
TP0001058C09,01141034A,20573,99.9,mM,uM,9.99,3.33,1.11,0.37,0.12,0.04,87.92,93.8,90.76,90.83,98.58,93.8
TP0001067C09,01141034A,20573,99.9,mM,uM,9.99,3.33,1.11,0.37,0.12,0.04,87.92,93.8,90.76,90.83,98.58,93.8
TP0001058G08,01141038A,38298,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,107.08,103.17,98.6,101.92,113.21,96.68
TP0001067G08,01141038A,38298,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,107.08,103.17,98.6,101.92,113.21,96.68
TP0001060G05,01141046A,20970,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,98.38,98.83,101.62,97.25,99.66,111.55
TP0001069G05,01141046A,20970,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,98.38,98.83,101.62,97.25,99.66,111.55
TP0001061E07,01141050A,21301,99.9,mM,uM,1,0.33,0.11,0.04,0.01,0,111.53,100,92.39,89.36,103.47,99.22
TP0001070E07,01141050A,21301,99.9,mM,uM,1,0.33,0.11,0.04,0.01,0,111.53,100,92.39,89.36,103.47,99.22
TP0001060H05,01141066A,24059,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,96.14,112.86,112.58,109.67,113.14,103.72
TP0001069H05,01141066A,24059,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,96.14,112.86,112.58,109.67,113.14,103.72
TP0001056B06,01141068A,21125,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,92.68,94.41,96.38,99.26,96.63,105.35
TP0001065B06,01141068A,21125,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,92.68,94.41,96.38,99.26,96.63,105.35
TP0001057D06,01141072A,24538,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,99.71,96.78,91.76,90.76,91.69,91.91
TP0001066D06,01141072A,24538,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,99.71,96.78,91.76,90.76,91.69,91.91
TP0001059C02,01141074A,23907,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,123.99,109.98,114.1,108.49,109.63,109.02
TP0001068C02,01141074A,23907,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,123.99,109.98,114.1,108.49,109.63,109.02
TP0001057G10,01141084A,47299,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,94.68,96.49,93.39,92.1,93.33,97
TP0001066G10,01141084A,47299,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,94.68,96.49,93.39,92.1,93.33,97
TP0001054A08,01141088A,47291,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,107.79,106.06,90.48,91.34,95.67,97.62
TP0001063A08,01141088A,47291,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,107.79,106.06,90.48,91.34,95.67,97.62
TP0001054G11,01141092A,47294,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,82.14,92.02,99.16,103.57,93.91,102.73
TP0001063G11,01141092A,47294,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,82.14,92.02,99.16,103.57,93.91,102.73
TP0001061D05,01141098A,22474,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,83.87,94.06,86.23,87.57,100.67,89.59
TP0001070D05,01141098A,22474,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,83.87,94.06,86.23,87.57,100.67,89.59
TP0001060F12,01141100A,24289,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,98.53,103.95,107.34,113.51,99.36,110.43
TP0001069F12,01141100A,24289,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,98.53,103.95,107.34,113.51,99.36,110.43
TP0001055H11,01141102A,33923,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,107.96,100.5,85.4,94.46,89.43,101.51
TP0001064H11,01141102A,33923,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,107.96,100.5,85.4,94.46,89.43,101.51
TP0001055A01,01141124A,32493,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,95.57,108.24,106.43,105.52,104.07,114.57
TP0001064A01,01141124A,32493,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,95.57,108.24,106.43,105.52,104.07,114.57
TP0001059G02,01141128A,20687,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,85.99,96.97,96.68,103.6,100.04,102.03
TP0001068G02,01141128A,20687,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,85.99,96.97,96.68,103.6,100.04,102.03
TP0001056C11,01141132A,32498,100,mM,uM,1,0.33,0.11,0.04,0.01,0,101.85,100.04,99.61,99.96,98.75,104.44
TP0001065C11,01141132A,32498,100,mM,uM,1,0.33,0.11,0.04,0.01,0,101.85,100.04,99.61,99.96,98.75,104.44
TP0001058B05,01141140A,37094,99.9,mM,uM,1,0.33,0.11,0.04,0.01,0,99.54,102.65,99.93,100.66,105.89,98.81
TP0001067B05,01141140A,37094,99.9,mM,uM,1,0.33,0.11,0.04,0.01,0,99.54,102.65,99.93,100.66,105.89,98.81
TP0001054G08,01141142A,36496,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,98.32,98.74,102.1,95.38,88.87,100.21
TP0001063G08,01141142A,36496,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,98.32,98.74,102.1,95.38,88.87,100.21
TP0001062B04,01141144A,46970,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,9.42,27.79,13.75,59.35,94.11,98.63
TP0001071B04,01141144A,46970,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,9.42,27.79,13.75,59.35,94.11,98.63
TP0001056D04,01141146A,47540,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,126.43,114.53,97.54,104.53,99.96,108.41
TP0001065D04,01141146A,47540,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,126.43,114.53,97.54,104.53,99.96,108.41
TP0001061D04,01141154A,42121,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,89.02,107.64,110.62,107.76,110.5,104.18
TP0001070D04,01141154A,42121,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,89.02,107.64,110.62,107.76,110.5,104.18
TP0001060D05,01141168A,48171,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,84.86,87.19,86.97,88.79,92.14,98.33
TP0001069D05,01141168A,48171,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,84.86,87.19,86.97,88.79,92.14,98.33
TP0001061C01,01141170A,23826,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,128.14,114.57,102.78,115.35,100.56,110.9
TP0001070C01,01141170A,23826,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,128.14,114.57,102.78,115.35,100.56,110.9
TP0001058F06,01141172A,48174,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,87.61,88.74,91.61,98.41,97.91,100.34
TP0001067F06,01141172A,48174,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,87.61,88.74,91.61,98.41,97.91,100.34
TP0001055E04,01141178A,48172,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,90.98,103.55,89.97,99.09,100.51,104.76
TP0001064E04,01141178A,48172,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,90.98,103.55,89.97,99.09,100.51,104.76
TP0001062F02,01141180A,48178,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,87.02,102.25,102.83,96.36,101.9,97.75
TP0001071F02,01141180A,48178,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,87.02,102.25,102.83,96.36,101.9,97.75
TP0001059E09,01141184A,34192,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,90.71,114.24,112.84,107.36,104.77,104.4
TP0001068E09,01141184A,34192,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,90.71,114.24,112.84,107.36,104.77,104.4
TP0001062A05,01141190A,47526,50,mg/ml,mg/l,50,16.67,5.56,1.85,0.62,0.21,83.32,92.32,85.23,96.03,93.38,104.29
TP0001071A05,01141190A,47526,10,mg/ml,mg/l,50,16.67,5.56,1.85,0.62,0.21,83.32,92.32,85.23,96.03,93.38,104.29
TP0001054B09,01141194A,40747,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,103.68,100.65,102.81,100.43,92.86,100.65
TP0001063B09,01141194A,40747,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,103.68,100.65,102.81,100.43,92.86,100.65
TP0001058F10,01141196A,44175,50,mg/ml,mg/l,50,16.67,5.56,1.85,0.62,0.21,90.52,94.84,91.77,93.79,93.38,92.89
TP0001067F10,01141196A,44175,10,mg/ml,mg/l,50,16.67,5.56,1.85,0.62,0.21,90.52,94.84,91.77,93.79,93.38,92.89
TP0001061G10,01141206A,23380,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,73.68,82.98,71.46,87.63,90.38,92.49
TP0001070G10,01141206A,23380,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,73.68,82.98,71.46,87.63,90.38,92.49
TP0001060A04,01141208A,22367,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,84.98,95.11,97.87,103.27,98.14,97
TP0001069A04,01141208A,22367,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,84.98,95.11,97.87,103.27,98.14,97
TP0001058E03,01141210A,41691,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,91.8,92.25,92.44,93.73,90.96,89.41
TP0001067E03,01141210A,41691,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,91.8,92.25,92.44,93.73,90.96,89.41
TP0001059C08,01141228A,32361,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,90.67,97.99,103.06,103.28,94.93,99.55
TP0001068C08,01141228A,32361,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,90.67,97.99,103.06,103.28,94.93,99.55
TP0001062A03,01141240A,20485,20,mM,uM,20,6.67,2.22,0.74,0.25,0.08,80.25,98.78,95.39,100.79,95.5,102.7
TP0001071A03,01141240A,20485,20,mM,uM,20,6.67,2.22,0.74,0.25,0.08,80.25,98.78,95.39,100.79,95.5,102.7
TP0001058A03,11140704A,21126,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,80.11,96.98,101.96,96.34,94.84,104.8
TP0001063C06,11140704A,21126,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,80.11,96.98,101.96,96.34,94.84,104.8
TP0001055F12,11141106A,20182,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,117.13,107.09,99.61,104.33,96.26,93.31
TP0001064F12,11141106A,20182,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,117.13,107.09,99.61,104.33,96.26,93.31
TP0001057E07,11141124A,32493,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,85.56,92.41,93.87,96.79,98.18,97.45
TP0001067D12,11141124A,32493,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,85.56,92.41,93.87,96.79,98.18,97.45
TP0001055H03,11141130A,35180,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,65.06,96.07,87.21,91.04,92.65,94.26
TP0001065E11,11141130A,35180,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,65.06,96.07,87.21,91.04,92.65,94.26
TP0001061C12,21140704A,21126,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,79.59,95.23,104.06,96.66,97.02,98.69
TP0001070C12,21140704A,21126,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,79.59,95.23,104.06,96.66,97.02,98.69
TP0001055G08,21141106A,20182,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,118.9,104.92,98.43,107.48,101.77,92.91
TP0001064G08,21141106A,20182,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,118.9,104.92,98.43,107.48,101.77,92.91
TP0001058D12,21141124A,32493,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,81.2,91.99,93.99,96.12,94.9,89.28
TP0001066E07,21141124A,32493,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,81.2,91.99,93.99,96.12,94.9,89.28
TP0001059A09,21141126A,20154,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,85.3,97.16,98.6,99.69,97.84,95.44
TP0001064C12,21141126A,20154,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,85.3,97.16,98.6,99.69,97.84,95.44
TP0000884E02,BF00128072,34855,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,97.22,99.9,94.73,96.55,98.85,97.89
TP0000886H04,BF00128072,34855,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,97.22,99.9,94.73,96.55,98.85,97.89
TP0000882B02,BF00128073,32500,100,mM,uM,1,0.33,0.11,0.04,0.01,0,94.96,93.35,97.25,102.41,96.79,98.4
TP0000886E03,BF00128073,32500,100,mM,uM,1,0.33,0.11,0.04,0.01,0,94.96,93.35,97.25,102.41,96.79,98.4
TP0000884B03,BF00128081,32555,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,119.28,103.81,91.93,95.74,106.73,100.9
TP0000886N05,BF00128081,32555,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,119.28,103.81,91.93,95.74,106.73,100.9
TP0000885A01,BF00128083,32532,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,107.52,119.55,118.05,114.79,126.32,134.34
TP0000887C01,BF00128083,32532,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,107.52,119.55,118.05,114.79,126.32,134.34
