spid,spid_legacy,chid,stkc,stkc_unit,tested_conc_unit,CONC1,CONC2,CONC3,CONC4,CONC5,CONC6,CONC1_MTT,CONC2_MTT,CONC3_MTT,CONC4_MTT,CONC5_MTT,CONC6_MTT
TP0001069E03,01140170A,20337,100,mM,uM,1,0.33,0.11,0.04,0.01,0,99.54,111.71,106.69,107.53,98.83,101.1
TP0001054B03,01140180A,29246,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,93.72,96.75,90.26,92.21,91.99,98.27
TP0001063B03,01140180A,29246,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,93.72,96.75,90.26,92.21,91.99,98.27
TP0001061D01,01140186A,20916,99.9,mM,uM,9.99,3.33,1.11,0.37,0.12,0.04,100.95,99.16,101.55,100.36,94.87,99.16
TP0001070D01,01140186A,20916,99.9,mM,uM,9.99,3.33,1.11,0.37,0.12,0.04,100.95,99.16,101.55,100.36,94.87,99.16
TP0001057B07,01140190A,24062,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,99.07,100.78,105.55,102.27,101.6,96.91
TP0001066B07,01140190A,24062,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,99.07,100.78,105.55,102.27,101.6,96.91
TP0001057C09,01140202A,20867,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,99.36,102.27,97.93,94.95,96.17,99.63
TP0001066C09,01140202A,20867,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,99.36,102.27,97.93,94.95,96.17,99.63
TP0001057A05,01140214A,27050,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,94.28,97.76,98.16,94.48,94.28,98.49
TP0001066A05,01140214A,27050,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,94.28,97.76,98.16,94.48,94.28,98.49
TP0001057C07,01140220A,25881,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,93.87,98.95,93.26,94.62,95.9,96.65
TP0001066C07,01140220A,25881,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,93.87,98.95,93.26,94.62,95.9,96.65
TP0001061E10,01140248A,26156,20,mM,uM,20,6.67,2.22,0.74,0.25,0.08,87.96,82.1,82.97,80.15,94.03,96.1
TP0001070E10,01140248A,26156,20,mM,uM,20,6.67,2.22,0.74,0.25,0.08,87.96,82.1,82.97,80.15,94.03,96.1
TP0001055C07,01140270A,22527,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,93.23,103.34,94.84,89.18,92.82,89.38
TP0001064C07,01140270A,22527,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,93.23,103.34,94.84,89.18,92.82,89.38
TP0001056A05,01140274A,25096,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,94.19,96.4,100.82,101.31,94.85,97.38
TP0001065A05,01140274A,25096,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,94.19,96.4,100.82,101.31,94.85,97.38
TP0001054A01,01140292A,22422,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,137.84,136.84,111.28,120.3,122.81,127.07
TP0001063A01,01140292A,22422,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,137.84,136.84,111.28,120.3,122.81,127.07
TP0001060H04,01140296A,20943,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,95.93,104.43,106.77,102.23,104.85,95.71
TP0001069H04,01140296A,20943,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,95.93,104.43,106.77,102.23,104.85,95.71
